hdl:1902.1/00555	development of achievement motivation
hdl:1902.1/01978	election districts
hdl:1902.1/01978	congressional districts
hdl:1902.1/01978	voting precints
hdl:1902.1/01978	voting behavior
hdl:1902.1/01978	voter turnout
hdl:1902.1/01978	voter registration
hdl:1902.1/01978	state elections
hdl:1902.1/01978	redistrcting
hdl:1902.1/01978	national elections
hdl:1902.1/01978	local elections
hdl:1902.1/01978	elections
hdl:1902.1/01978	election returns
hdl:1902.1/02012	voting precints
hdl:1902.1/02012	voter turnout
hdl:1902.1/02012	voter registration
hdl:1902.1/02012	state elections
hdl:1902.1/02012	redistrcting
hdl:1902.1/02012	national elections
hdl:1902.1/02012	local elections
hdl:1902.1/02012	elections
hdl:1902.1/02012	election returns
hdl:1902.1/02012	election districts
hdl:1902.1/02012	congressional districts
hdl:1902.1/02012	voting behavior
hdl:1902.1/10437	coordinating signal
hdl:1902.1/10437	sincere voting
hdl:1902.1/10437	borda winner
hdl:1902.1/10437	strategic voting
hdl:1902.1/10437	plurality rule
hdl:1902.1/10437	condorcet winner
hdl:1902.1/10482	european monetary union
hdl:1902.1/10482	electoral system
hdl:1902.1/10482	partisan politics
hdl:1902.1/10482	fiscal policy
hdl:1902.1/10932	durable goods
hdl:1902.1/10932	consumer purchases
hdl:1902.1/10932	womens movement
hdl:1902.1/10932	home ownership
hdl:1902.1/10932	automobile ownership
hdl:1902.1/10932	shopping
hdl:1902.1/10932	property repairs
hdl:1902.1/10932	research
hdl:1902.1/10932	news media
hdl:1902.1/10932	leisure
hdl:1902.1/10932	psychographics
hdl:1902.1/10932	medical care
hdl:1902.1/10932	trust
hdl:1902.1/10932	biographical data
hdl:1902.1/10932	media use
hdl:1902.1/10932	marketing
hdl:1902.1/10932	health insurance
hdl:1902.1/10932	occupation
hdl:1902.1/10932	political ideologies
hdl:1902.1/10932	restaurants
hdl:1902.1/10932	products
hdl:1902.1/10932	personal income
hdl:1902.1/10932	banking
hdl:1902.1/10932	television viewing
hdl:1902.1/10932	perceptions
hdl:1902.1/10932	attitudes
hdl:1902.1/10932	consumer behavior
